#############
X[0],1689,4073
O[0],1689,4081
#############
X[1],1711,4073
O[1],1711,4081
#############
X[2],1733,4073
O[2],1733,4081
#############
X[3],1755,4073
O[3],1755,4081
#############
X[4],1777,4073
O[4],1777,4081
#############
O[5],1775,4049
X[5],1767,4049
#############
O[6],1775,4027
X[6],1767,4027
#############
O[7],1775,4005
X[7],1767,4005
#############
O[8],1767,3983
X[8],1775,3983
#############
O[9],1743,3985
X[9],1743,3993
#############
O[10],1721,3985
X[10],1721,3993
#############
O[11],1699,3985
X[11],1699,3993
#############
O[12],1677,3985
X[12],1677,3993
#############
O[13],1679,4017
X[13],1687,4017
#############
O[14],1679,4039
X[14],1687,4039
#############
O[15],1679,4061
X[15],1687,4061
#############
O[16],1711,4059
X[16],1711,4051
#############
O[17],1733,4059
X[17],1733,4051
#############
O[18],1755,4059
X[18],1755,4051
#############
O[19],1753,4027
X[19],1745,4027
#############
O[20],1753,4005
X[20],1745,4005
#############
O[21],1721,4007
X[21],1721,4015
#############
O[22],1699,4007
X[22],1699,4015
#############
O[23],1701,4039
X[23],1709,4039
